id,name,capacity,lat,lon,address1,address2,address3,address4
SA100-0002,臺北市立螢橋國民中學,267,25.016335,121.530379,臺北市,中正區,林興里,汀州路三段四號
SA100-0003,臺北市立大學附設實驗國民小學,973,25.040125,121.516422,臺北市,中正區,黎明里,公園路29號
SA100-0004,臺北市立弘道國民中學,733,25.041697,121.516246,臺北市,中正區,建國里,公園路21號
SA100-0005,二二八和平公園,5424,25.041076,121.514937,臺北市,中正區,黎明里,凱達格蘭大道3號
SA100-0006,臺北市中正運動中心,483,25.038166,121.521832,臺北市,中正區,東門里,信義路一段1號
SA100-0007,臺北市立中正國民中學,1605,25.031985,121.521852,臺北市,中正區,新營里,愛國東路158號
SA100-0008,臺北市立第一女子高級中學,1452,25.03881,121.51312,臺北市,中正區,建國里,重慶南路一段165號
SA100-0009,臺北市立古亭國民中學,385,25.021882,121.505504,臺北市,中正區,永功里,中華路二段465號
SA100-0010,臺北市立成功高級中學,2514,25.042358,121.524673,臺北市,中正區,幸福里,濟南路一段71號
SA100-0011,臺北市中正區忠孝國民小學,313,25.03165,121.522,臺北市,中正區,梅花里,忠孝東路二段101號
SA100-0012,臺北市中正區東門國民小學,1557,25.0289,121.51875,臺北市,中正區,東門里,仁愛路一段2-4號
SA100-0013,臺北市中正區河堤國民小學,360,25.03515,121.52025,臺北市,中正區,河堤里,汀州路二段180號
SA100-0014,臺北市中正區南門國民小學,440,25.03965,121.516,臺北市,中正區,南門里,廣州街6號
SA100-0015,臺北市立南門國民中學,1671,25.0259,121.50725,臺北市,中正區,南門里,廣州街6號
SA100-0016,臺北市立建國高級中學,2804,25.0229,121.51475,臺北市,中正區,龍光里,南海路56號
SA100-0017,臺北市國語實驗國民小學,460,25.02565,121.51775,臺北市,中正區,龍光里,南海路58號
SA100-0018,臺北市中正區螢橋國民小學,491,25.03515,121.51675,臺北市,中正區,螢雪里,詔安街29號
SA100-0019,中正紀念堂站,1974,25.0234,121.521,臺北市,中正區,龍福里,羅斯福路1段8之1號B1
SA100-0020,古亭站,1828,25.02765,121.5255,臺北市,中正區,頂東里,羅斯福路2段164之1號B1
SA100-0021,台大醫院站,1044,25.03815,121.51425,臺北市,中正區,黎明里,公園路52號B1
SA100-0022,臺北市市場處光華數位新天地商場地下停車場,375,25.02365,121.50675,臺北市,中正區,梅花里,市民大道三段8號
SA100-0023,西門站,2974,25.0354,121.519,臺北市,中正區,建國里,寶慶路32之1號B1
SA100-0024,臺北市忠義實驗國民小學,50,25.0249,121.5105,臺北市,中正區,忠勤里,中華路二段307巷17號
SA100-0025,臺北市立圖書館王貫英紀念館,87,25.03715,121.507,臺北市,中正區,頂東里,汀州路二段265號
SA100-0026,臺北市立圖書館城中分館,30,25.0359,121.507,臺北市,中正區,幸市里,濟南路二段46號3樓
SA100-0027,國立臺北商業大學,343,25.0299,121.51075,臺北市,中正區,幸福里,濟南路1段321號
SA100-0028,西門地下街,770,25.0284,121.51725,臺北市,中正區,光復里,中華路一段51-1號B1
SA103-0001,臺北市大同區延平國小,1328,25.07115,121.5125,臺北市,大同區,國慶里,昌吉街97號
"SA103-0002
",臺北市立重慶國民中學,313,25.07721,121.51726,臺北市,大同區,重慶里,敦煌路19號
SA103-0003,臺北市立忠孝國民中學,527,25.06165,121.5215,臺北市,大同區,玉泉里,西寧北路32號
SA103-0004,臺北市立建成國民中學,1082,25.0639,121.5165,臺北市,大同區,建泰里,長安西路37之1號
SA103-0005,玉泉公園,1993,25.06565,121.521,臺北市,大同區,玉泉里,西寜北路28號
SA103-0006,臺北市大同運動中心,314,25.06515,121.523,臺北市,大同區,蓬萊里,大龍街51號
SA103-0007,臺北市大同區大同國民小學(暫停用),960,25.0559,121.5075,臺北市,大同區,蓬萊里,大龍街51號
SA103-0008,臺北市大同區大橋國民小學,2745,25.06442,121.51328,臺北市,大同區,隆和里,重慶北路三段2號
SA103-0009,臺北市大同區大龍國民小學,749,25.0564,121.5165,臺北市,大同區,保安里,哈密街47號
SA103-0010,臺北市大同區太平國民小學,1021,25.06164,121.51143,臺北市,大同區,南芳里,延平北路二段239號
SA103-0011,臺北市大同區日新國民小學,1136,25.0543,121.51784,臺北市,大同區,星明里,太原路151號
SA103-0012,臺北市立民權國民中學,424,25.06165,121.51675,臺北市,大同區,隆和里,重慶北路三段1號
SA103-0013,臺北市大同區永樂國民小學,569,25.05715,121.5165,臺北市,大同區,南芳里,延平北路二段266號
SA103-0014,臺北市立成淵高級中學,3335,25.061483,121.517865,臺北市,大同區,民權里,承德路二段235號
SA103-0015,臺北市大同區明倫高級中學,1145,25.06115,121.5155,臺北市,大同區,重慶里,承德路三段336號
SA103-0016,臺北市大同區蓬萊國民小學,2189,25.05715,121.52125,臺北市,大同區,星明里,寧夏路35號
SA103-0017,臺北市大同區雙蓮國民小學,1325,25.06038,121.51684,臺北市,大同區,民權里,錦西街51號
SA103-0018,臺北市立蘭州國民中學,260,25.0579,121.5085,臺北市,大同區,至聖里,大龍街187巷1號
SA103-0019,大同251號綠地,152,25.06465,121.51775,臺北市,大同區,老師里,環河北路與敦煌路口三角綠地
SA103-0020,建成公園,923,25.05915,121.509,臺北市,大同區,光能里,承德路二段35號旁
SA103-0021,臺北市市場處大龍市場地下停車場,258,25.06015,121.51275,臺北市,大同區,重慶里,重慶北路三段347號
SA103-0022,國慶區活動中心,139,25.06315,121.51475,臺北市,大同區,國慶里,重慶北路3段76號4樓
SA103-0023,臺北市立圖書館大同分館,138,25.05615,121.50925,臺北市,大同區,老師里,重慶北路三段318號
SA103-0024,臺北市立圖書館延平分館,73,25.07065,121.522,臺北市,大同區,延平里,保安街47號
SA103-0025,臺北市立圖書館建成分館,38,25.05708,121.51632,臺北市,大同區,星明里,民生西路198-20號4樓
SA103-0026,臺北轉運站,1125,25.0654,121.52225,臺北市,大同區,建明里,市民大道1段209號
SA103-0027,中山地下街,2887,25.05392,121.5206,臺北市,大同區,民安里,長安西路52-1號B1
SA104-0001,臺北市立新興國民中學,477,25.0689,121.5405,臺北市,中山區,聚葉里,林森北路511號
SA104-0002,臺北市立五常國民中學,697,25.0649,121.5445,臺北市,中山區,下埤里,復興北路430巷1號
SA104-0003,臺北市中山區中山國民小學,1775,25.0549,121.5315,臺北市,中山區,恆安里,民權東路一段69號
SA104-0004,榮星花園公園,3464,25.0594,121.53525,臺北市,中山區,行仁里,民權東路三段1號
SA104-0005,臺北市中山區行政中心大禮堂,84,25.06315,121.527,臺北市,中山區,行政里,松江路367號10樓
SA104-0006,臺北市中山運動中心,453,25.053874,121.521256,臺北市,中山區,民安里,中山北路二段44巷2號
SA104-0007,新生公園棒球場,60,25.05365,121.541,臺北市,中山區,新庄里,新生北路三段105號
SA104-0008,臺北市立大同高級中學,2474,25.0709,121.5415,臺北市,中山區,中央里,長春路167號
SA104-0009,臺北市中山區大佳國民小學,239,25.0574,121.5325,臺北市,中山區,大佳里,濱江街107號
SA104-0010,臺北市立大直高級中學,1309,25.05865,121.5215,臺北市,中山區,劍潭里,北安路420號
SA104-0011,臺北市中山區大直國民小學,1125,25.0634,121.529,臺北市,中山區,大直里,大直街2號
SA104-0013,臺北市中山區中正國民小學,824,25.06465,121.536,臺北市,中山區,力行里,龍江路62號
SA104-0014,臺北市立五常國民小學,816,25.0529,121.534,臺北市,中山區,下埤里,五常街16號
SA104-0015,臺北市中山區北安國民中學,345,25.05415,121.5445,臺北市,中山區,劍潭里,明水路325號
SA104-0016,臺北市中山區永安國民小學,1674,25.0684,121.527,臺北市,中山區,永安里,明水路397巷19弄1號
SA104-0017,臺北市中山區吉林國民小學,792,25.0589,121.536,臺北市,中山區,中原里,長春路116號
